step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'Plantain starch': ['Cronobacter spp.']}</s>,"In Bogotá, Colombia, a large number of babies are fed with breast milk substitutes made from corn and plantain starch. We found 34.3% of tested samples to be contaminated with Cronobacter spp. ; C. sakazakii was the most recovered species. Our findings underscore the risk for contamination of breast milk substitutes."
"Chemicals: 
            <chemicals you identified in the text above between triple backticks>
            Foods: 
            <foods you identified in the text above between triple backticks>
            Dictionary: 
            {
                ""rice"": ""sterigmatocystin"",
                ""wheat"": ""sterigmatocystin"",
                ""maize"": ""sterigmatocystin"",
                ""sorghum"": ""sterigmatocystin""
            }</s>",{'rice': ['sterigmatocystin']}</s>,"A simple method for detecting sterigmatocystin in agricultural commodities by minicolumn chromatography was developed. Clean-up as well as semi-quantitative estimation could be done on the same column. The method is suitable for the analysis of samples of rice, wheat, maize and sorghum contaminated with sterigmatocystin and could be used as an effective preliminary screening technique in public health laboratories."
"Chemicals: fumonisins
Foods: maize-based foods
Dictionary: {maize: 'fumonisins'}</s>",{'Maize': ['Fumonisins']}</s>,"Fumonisins are mycotoxins that contaminate maize, disrupt the folate and sphingolipid metabolism, are associated with neural tube defects, and are considered by the International Agency for Research on Cancer (IARC) as possible human carcinogens. Since maize-based foods are significant components of the Mexican diet and there is a high prevalence of genetic susceptibility for folate deficiency among Mexicans, this essay presents international and national evidence of fumonisin exposure and the relevance that such exposure represents for Mexico."
"Chemicals: deoxynivalenol, zearalenone
Foods: forage maize
Dictionary: {
    ""forage maize"": [""deoxynivalenol"", ""zearalenone""]
}</s>","{'Forage maize': ['Deoxynivalenol', 'Zearalenone']}</s>","The deoxynivalenol contents of forage maize in this study ranged between 0.22 and 12.9 mg/kg DM, but seldom exceeded critical concentrations suggested for ruminant diets. Zearalenone was found in considerably lower concentrations than DON and rarely reached critical levels. Therefore risk to the health and performance of ruminants is regarded as low. Fusarium toxin occurrence in forage maize can be minimized by choosing maize varieties less susceptible to stem rot, harvesting at optimal maturity (dry matter content 30-35%) and elevating the cutting height to at least 40 cm above ground."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'Baby corn': ['Shigella sonnei']}</s>,The recently reported concurrent outbreaks of Shigella sonnei infections in Denmark and Australia have been found to be linked to a common baby corn packing house in Thailand via trace-back of the distribution chain. Distribution records indicated that three additional countries received affected product from the implicated Thai packing house during the period of potential contamination. These countries were notified through the World Health Organization's International Food Safety Authorities Network (INFOSAN). Associated cases of S. sonnei have not been reported in these three countries.
"Chemicals: aflatoxins, fumonisins
Foods: corn
Dictionary: {
    'corn': ['aflatoxins', 'fumonisins']
}</s>",{'corn': ['mycotoxins (aflatoxins and fumonisins)']}</s>,"This study attempts to assess the risk of mycotoxins (aflatoxins and fumonisins) contamination on corn in the Philippines under current and projected climate change conditions using fuzzy logic methodology based on the published range of temperature and rainfall conditions that favor mycotoxin development. Based on the analysis, projected climatic change will reduce the risk of aflatoxin contamination in the country due to increased rainfall. In the case of fumonisin contamination, most parts of the country are at a very high risk both under current conditions and the projected climate change conditions."
"Chemicals: None
            Foods: None
            Dictionary: {}</s>",{'Goats': ['Salmonella newport C2']}</s>,"A total of 36 goats were fed for 17 months with corn silage grown on land fertilized with human sewage sludge. These animals were investigated for salmonella infections. Salmonellae were not detected in cultures of fecal or silage samples. No significant agglutination titers were detected in goat sera examined. Salmonella newport C2 was isolated from the sludge used as fertilizer on the cornfields. The public health aspects of the findings are discussed as they relate to the increasing use of sewage sludge for agricultural fertilizers, as well as to the resultant effects on human food and livestock feed."
"Chemicals: DON, ZEA, OTA, FUM
Foods: cereals, cereal products, maize meal, semolina
Dictionary: {
    'cereals': ['DON', 'ZEA', 'OTA'],
    'cereal products': ['DON', 'ZEA', 'OTA'],
    'maize meal': ['FUM'],
    'semolina': ['FUM']
}</s>","{'Cereals and cereal products': ['Deoxynivalenol (DON)', 'Zearalenone (ZEA)', 'Ochratoxin A (OTA)']}</s>","Results from the Bavarian Health and Food Safety Authority on contamination of cereals and cereal products from the Bavarian market with the mycotoxins deoxynivalenol (DON), zearalenone (ZEA), and ochratoxin A (OTA) and of maize meal and semolina with fumonisins (FUM) in the year 2004 are presented. Contamination rates and levels of DON, ZEA, and OTA were low and did not exceed the maximum levels. However, a 92% contamination rate and high levels of FUM in maize meal and semolina were measured. Contamination levels of mycotoxins are discussed and evaluated with respect to possible health implications for consumers."
"Chemicals: deoxynivalenol, trichothecene toxins
Foods: wheat flour, bread, noodles, rice, corn, oats
Dictionary: {wheat flour: deoxynivalenol, bread: deoxynivalenol, noodles: deoxynivalenol, rice: not applicable, corn: not applicable, oats: not applicable}</s>","{'wheat flour': ['DON'], 'bread': ['DON'], 'noodles': ['DON']}</s>","Samples of wheat flour, bread, noodles, rice, corn and corn based foods as well as oats and oats based foods of conventional and organical production were analysed for trichothecene toxins. In wheat flour, bread and noodels the median deoxynivalenol (DON) contents were lower in ecological than in conventional products with significant differences for what flour and bread. To estimate toxin uptake of the consumer a corrected mean of DON concentration was calculated, which was lower in wheat flour and bread for ecological than for conventional products. In noodles the corrected mean of organical products was higher than that of conventional ones."
"Chemicals: cadmium (Cd)
Foods: maize (Zea mays)
Dictionary: {maize (Zea mays): cadmium (Cd)}</s>",{'Maize': ['Cadmium (Cd)']}</s>,"Cadmium (Cd) is widespread in the soil, water, and atmosphere, so Cd toxicity to human can happen by breathing in air, drinking water, and eating food from plant grown in Cd-contaminated soil. Cd pollution draws a lot of attention from the scientific community and also regulatory agents and is researched widely by using both plant and animal system. In this protocol, the detection of cadmium (Cd) is described in soil and mature maize (Zea mays) plant with the atomic absorption spectrometer. The Cd uptake, translocation factor, and Cd health risk index are also introduced. The protocol can be modified slightly to measure Cd in different types of plants."
"Chemicals: fumonisin B(1), fumonisin B(2)
Foods: maize bread
Dictionary: {maize bread: ['fumonisin B(1)', 'fumonisin B(2)']}</s>","{'broa': ['Fumonisin B(1) (FB(1))', 'Fumonisin B(2) (FB(2))']}</s>","Fumonisin B(1) (FB(1)) and fumonisin B(2) (FB(2)) are mycotoxins mainly produced by Fusarium verticillioides, and Fusarium proliferatum, fungi species most commonly isolated from maize. The natural occurrence of FB(1) and FB(2) in broa, typical Portuguese maize bread, was evaluated in 30 samples. Twenty five were found positive with levels ranging from 142 to 550 microg kg(-1). The limit established by the European regulations was exceeded by 27% of the samples. The tolerable daily intake for fumonisin B(1), and B(2), alone or in combination, for all of the analysed samples, was lower than 2 microg kg(-1) body weight per day established by the European Commission."
"Chemicals: Malathion, chlorpyrifos, deltamethrin, cypermethrin, 4,4-DDE, 4,4-DDD, 4,4-DDT
Foods: Wheat, corn, chickpeas, beans
Dictionary: {
    ""Wheat"": ""Malathion"",
    ""Corn"": ""Deltamethrin"",
    ""Chickpeas"": ""Cypermethrin"",
    ""Beans"": ""4,4-DDE"",
    ""Wheat"": ""4,4-DDD"",
    ""Corn"": ""4,4-DDT""
}</s>","{'Wheat': ['Malathion', 'Chlorpyrifos', 'Deltamethrin', 'Cypermethrin'], 'Corn': ['Malathion', 'Chlorpyrifos', 'Deltamethrin', 'Cypermethrin'], 'Chickpeas': ['Malathion', 'Chlorpyrifos', 'Deltamethrin', 'Cypermethrin'], 'Beans': ['Malathion', 'Chlorpyrifos', 'Deltamethrin', 'Cypermethrin']}</s>","Food safety has acquired great attention by food importer and exporters. Food rejection or acceptance across international borders is based on the compliance with international food regulations. Due to the lack of recent data on pesticide residues in Mexican grains, this study focused on detecting and quantifying insecticide residues in stored wheat, corn, chickpeas, and beans, as well as to determine their mutagenic potential. Grains were sampled from primary storage sites in Sonora, Mexico. Malathion, chlorpyrifos, deltamethrin, cypermethrin, 4,4-DDE, 4,4-DDD and 4,4-DDT were analyzed in 135 samples. Grain samples were not mutagenic and most pesticide levels were within regulation limits."
"Chemicals: [['aflatoxin B1 (AFB1)']]
            Foods: [['breakfast cereals']]
            Dictionary: {
                'breakfast cereals': {
                    'aflatoxin B1 (AFB1)': 'hazardous'
                }
            }</s>",{'Breakfast cereals': ['Ochratoxin A']}</s>,"The present paper reports data on the occurrence of ochratoxin A (OTA) and aflatoxin B1 (AFB1) in breakfast cereals marketed in Serbia and interprets consequent dietary exposure. A total of 136 samples was collected in 2012 and 2015 and analysed using high-performance liquid chromatography with fluorescence detection. OTA was detected in 20.7% of the samples in 2012 and 13.0% in 2015, with 3.6% and 0% of the samples above the EU maximum level, respectively. AFB1 was found in low concentrations in 11.1% of the samples collected in 2015, mainly corn based. Comparison of estimated exposure of Serbian adult population with respective toxicological reference values showed no concern for public health."
"Chemicals: fumonisins
Foods: maize kernel
Dictionary: {maize kernel: fumonisins}</s>",{'Fumonisins': ['Fumonisins are mycotoxins mainly produced by two Fusarium species: F. verticillioides and F. proliferatum. These toxins are of great concern due to their widespread contamination in maize and their adverse effects on animal and human health.']}</s>,"Fumonisins are mycotoxins mainly produced by two Fusarium species: F. verticillioides and F. proliferatum. These toxins are of great concern due to their widespread contamination in maize and their adverse effects on animal and human health. In the past decade, progress was made in identifying the genes required for fumonisin biosynthesis. Additionally, molecular mechanisms involved in the regulation of fumonisin production have been very recently elucidated. By covering the latest advances concerning the factors modulating fumonisin production, this review aims at presenting an integrated approach of the overall mechanisms involved in the regulation of fumonisin biosynthesis during maize kernel colonization."
"Chemicals: AFB1, AFB2
            Foods: pozol
            Dictionary: {
                ""pozol prepared with white maize"": [""AFB2""],
                ""pozol mixed with toasted cacao paste"": [""AFB1"", ""AFB2""]
            }</s>","{'Pozol': ['aflatoxin B1', 'aflatoxin B2']}</s>","To determine whether pozol, a nixtamalized maize-based food was contaminated with aflatoxins, samples of non-fermented pozol were collected during the period November 2002 to April 2003 from local markets at Comitan in Chiapas, Mexico. The samples were analyzed for the presence of aflatoxins. Nineteen out of one hundred and eleven samples were contaminated with aflatoxin B2 (AFB2) and traces of aflatoxin B1 (AFB1). The percentage of samples contaminated with AFB2 in pozol prepared with white maize was 5.4%. Pozol mixed with toasted cacao paste had a contamination rate of 41.5%. No aflatoxins were detected in pozol prepared with yellow maize. It was found that only 1 of 19 contaminated samples had aflatoxin concentrations above 20 ppb."
"Chemicals: antimony, potassium antimonate
Foods: maize (Zea mays), sunflower (Helianthus annuus)
Dictionary: {maize: ['antimony'], sunflower: ['antimony']}</s>",{'Zea mays': ['Sb']}</s>,"We investigated the extent of Sb uptake by maize (Zea mays) and sunflower (Helianthus annuus) from nutrient solutions containing concentrations from 3 to 24 mg/L of potassium antimonate, with the aim of determining the potential of Sb to enter the food chain. The maximum shoot Sb concentrations in Z. mays and H. annuus were 41 mg/kg and 77 mg/kg dry weight, respectively. There was no significant difference in Sb uptake between species. The average bioaccumulation coefficients (the plant/solution concentration quotients) were 1.02 and 1.93 for Z. mays and H. annuus, respectively. Phosphate addition did not affect plant growth or Sb uptake. Antimony uptake by both Z. mays and H. annuus is unlikely to pose a health risk to animals and humans."
"Chemicals: fructose, sucrose, high fructose corn syrup
Foods: dietary fructose, added sugars, metabolic syndrome, hypertension, metabolic syndrome, kidney disease
Dictionary: {
    ""dietary fructose"": ""fructose"",
    ""added sugars"": ""sucrose, high fructose corn syrup"",
    ""metabolic syndrome"": ""fructose"",
    ""hypertension"": ""fructose"",
    ""metabolic syndrome"": ""fructose"",
    ""kidney disease"": ""fructose""
}</s>","{'Fructose': ['is increasing primarily from added sugars, including sucrose and high fructose corn syrup']}</s>","Dietary fructose intake is increasing. It is increasing primarily from added sugars, including sucrose and high fructose corn syrup, and correlates epidemiologically with the rising prevalence of metabolic syndrome and hypertension worldwide. The administration of fructose to animals and humans increases BP and the development of metabolic syndrome. These changes occur independently of caloric intake because of the effect of fructose on ATP depletion and uric acid generation. Fructose ingestion may also be a risk factor for kidney disease that includes glomerular hypertension, renal inflammation, and tubulointerstitial injury in animals. We suggest excessive fructose intake should be considered an environmental toxin with major health implications."
